size,threads,cores,time_ms
200,1,1,49
400,1,1,431
800,1,1,3728
200,2,1,49
400,2,1,503
800,2,1,3792
200,4,1,50
400,4,1,414
800,4,1,3382
200,8,1,50
400,8,1,434
800,8,1,3349
200,1,2,75
400,1,2,482
800,1,2,3482
200,2,2,52
400,2,2,459
800,2,2,3930
200,4,2,69
400,4,2,576
800,4,2,4362
200,8,2,61
400,8,2,497
800,8,2,4530
200,1,4,69
400,1,4,572
800,1,4,3683
200,2,4,55
400,2,4,473
800,2,4,3265
200,4,4,47
400,4,4,386
800,4,4,3131
200,8,4,48
400,8,4,377
800,8,4,3103
200,1,8,47
400,1,8,380
800,1,8,3114
200,2,8,47
400,2,8,392
800,2,8,3098
200,4,8,48
400,4,8,387
800,4,8,3096
200,8,8,47
400,8,8,386
800,8,8,3114
